"April 27, 2021","https://www.alomoves.com/series/circular-mobility-rx/workouts/9577
plasticity : superficial back line & deep back arm lines

https://www.alomoves.com/series/handstand-flow/workouts/9669",,D8
"April 28, 2021","plasticity : lateral lines & superficial arm lines

https://www.alomoves.com/series/power-yoga-flow/workouts/9671","YY
Y",D9 !!!! THIS lateral lines and superficial arm lines class is just fucking amazing
"April 29, 2021","plasticity : spiral lines & functional lines

https://www.alomoves.com/series/the-power-of-yoga/workouts/9205","YY
Y","D10 !!!! THIS shit fucks
this is a haaaard fucking handstand classs… ashtanga primary series standing sequence with a handstand at every posture"
"April 30, 2021","plasticity : deep front line

self led handstand flow
https://www.alomoves.com/series/smarter-hips/workouts/10525
https://www.alomoves.com/series/true-flexibility/workouts/4167","Y
Y","D11 << v hard deep front line stretching class


very solid hip mobility class
another solid hip mobility class"
"May 1, 2021","https://www.alomoves.com/series/the-method-backbending/workouts/9926
https://www.alomoves.com/series/posture-clinic-scorpion-pose/workouts/10677
https://www.alomoves.com/series/power-yoga-flow/workouts/9671",Y,"daaaamn backbend class
daaaamn scorpion technique"
"May 2, 2021","elasticity : superficial front line & superficial arm lines

self-led squat work, sunnies, inversions and backbends flow",,D13
"May 3, 2021",elasticity : superficial back line,,
"May 4, 2021","elasticity : lateral lines & deep arm lines

https://www.alomoves.com/series/flow-state/workouts/11609
hip yin",,
"May 5, 2021",elasticity : spiral lines & functional lines,,
"May 6, 2021","elasticity : deep front line

https://www.alomoves.com/series/float-lab/workouts/11058
inversions in flow",Y,"D17
crazy patrick float class"
"May 7, 2021","https://www.alomoves.com/series/the-7-chakras/workouts/11029
https://www.alomoves.com/series/handstand-flow/workouts/9669
https://www.alomoves.com/series/surrender/workouts/10848",,
"May 8, 2021","plasticity : superficial front line & deep front arm lines

https://www.alomoves.com/series/full-spectrum-flow/workouts/10735
https://www.alomoves.com/series/strength-elevation-flows/workouts/7793 !!!!!!!!!!!!",,D19
"May 9, 2021",simple airport + airplane stretches,,
"May 10, 2021","plasticity : superficial back line & deep back arm lines

https://www.alomoves.com/series/handstand-flow/workouts/9669",,
"May 11, 2021",plasticity : lateral lines & superficial arm lines,,
"May 12, 2021","plasticity : spiral lines & functional lines

https://www.alomoves.com/series/release-tension/workouts/9448",,
"May 13, 2021","plasticity : deep front line

https://www.alomoves.com/series/handstand-flow/workouts/9669",,D23
"May 14, 2021",,,
"May 15, 2021","elasticity : superficial front line & superficial arm lines

https://www.alomoves.com/series/handstand-flow/workouts/9669
https://www.alomoves.com/series/unbound-hips/workouts/10946",,D25
"May 16, 2021","elasticity : superficial back line

https://www.alomoves.com/series/alo-in-the-wild-big-sur/workouts/12645
self led inversion flow",,
"May 17, 2021",https://www.alomoves.com/series/flow-state/workouts/11608,,
"May 18, 2021","elasticity : lateral lines & deep arm lines

https://www.alomoves.com/series/flying-vinyasa/workouts/9377",,<< v intense handstand and arm balance flow
"May 19, 2021",elasticity : spiral lines & functional lines,,
"May 20, 2021",https://www.alomoves.com/series/handstand-flow/workouts/9669,,
"May 21, 2021","elasticity : deep front line

https://www.alomoves.com/series/alo-in-the-wild-baja/workouts/12677",,D29
"May 22, 2021","plasticity : superficial front line & deep front arm lines

https://www.alomoves.com/series/the-sequence-classes/workouts/4741",Y,"D31
<< fantastic flying crow class w/ Bry"
"May 23, 2021","plasticity : superficial back line & deep back arm lines

https://www.alomoves.com/series/the-sequence-classes/workouts/4741",,
"May 24, 2021","plasticity : lateral lines & superficial arm lines

https://www.alomoves.com/series/handstand-flow/workouts/9669",Y,"<< so much great lower back, glute, hip, tfl & it band work here"
"May 25, 2021","plasticity : spiral lines & functional lines

https://www.alomoves.com/series/handstand-flow/workouts/9669",Y,<< incredible subtle spiral lines work
"May 26, 2021",1x sun salutation,,
"May 27, 2021",plasticity : deep front line,Y,D35 << HARD
"May 28, 2021",elasticity : superficial front line & superficial arm lines,,D37<< backbend stuff at the end i found challenging
"May 29, 2021",1x sun salutation,,
"May 30, 2021",,,
"May 31, 2021",1x sun salutation,,
"June 1, 2021","elasticity : superficial back line

https://www.alomoves.com/series/handstand-flow/workouts/9669",,
"June 2, 2021","elasticity : lateral lines & deep arm lines

https://www.alomoves.com/series/handstand-flow/workouts/9669",,
"June 3, 2021","self led flow
https://www.alomoves.com/series/loving-spoonfuls/workouts/6709
self led flow",Y,<<< currie in a hurry class great quick spine looening and side plank work… perf example of currie’s style
"June 4, 2021",1x sun salutation,,
"June 5, 2021",1x sun salutation,,
"June 6, 2021",free flow,,
"June 7, 2021","free flow
https://www.alomoves.com/series/handstand-flow/workouts/9669",,
"June 8, 2021","free flow (10 mins)
free flow (10 mins)",,
"June 9, 2021",,,
"June 10, 2021",https://www.alomoves.com/series/poetry-in-motion/workouts/10589?type=playlist&uuid=084f96ed-b440-48ca-93c6-bb3018120c51,,
"June 11, 2021",,,
"June 12, 2021",,,
"June 13, 2021","8x sun salutations free flow
https://www.alomoves.com/series/surrender/workouts/10850",,
"June 14, 2021",8x sun salutations free flow,,
"June 15, 2021",8x sun salutations free flow,,
"June 16, 2021",8x sun salutations free flow,,
"June 17, 2021",8x sun salutations free flow,,
"June 18, 2021",,,
"June 19, 2021",,,
"June 20, 2021",108 sun salutations — solstice ritual,,
"June 21, 2021",https://www.alomoves.com/series/tension-release/workouts/12580,Y,<< nice relaxation stretch class
"June 22, 2021","https://www.alomoves.com/series/marinate/workouts/6933
https://www.alomoves.com/series/soothing-stretch/workouts/12628
8x sun salutations free flow","Y
Y","<< megan currie short simple hip yin
<< soothing front body, diose body, shoulder stretch … mellow"
