mins,teacher,title,url
60,Patrick Beach,RHYTHM OF LIFE,https://www.alomoves.com/series/yoga-for-life/workouts/6348
30,Patrick Beach,RELEASING THE SELF,https://www.alomoves.com/series/yoga-for-life/workouts/6346
63,Patrick Beach,CONSCIOUS AND CONNECTED,https://www.alomoves.com/series/yoga-for-life/workouts/6343
65,Patrick Beach,MINDFUL MOVEMENT,https://www.alomoves.com/series/yoga-for-life/workouts/6347
62,Patrick Beach,INSIGHT OVER ANXIETY,https://www.alomoves.com/series/yoga-for-life/workouts/6344
61,Patrick Beach,ENERGIZING VINYASA,https://www.alomoves.com/series/energizing-vinyasa/workouts/7074
45,Patrick Beach,FULL VINYASA FLOW,https://www.alomoves.com/series/yoga-for-beginners/workouts/11456
59,Patrick Beach,POWERFUL ROOTS,https://www.alomoves.com/series/strength-elevation-flows/workouts/7792
